Pass.no,Player Pos,Shirt No,Start_x,Start_y,End_x,End_y,Target,Target.no,Outcome
1,CM,8,40,52,65,40,FWD,9,Unsuccessful
2,CM,6,40,28,24,5,RB,2,Successful
3,RB,2,24,5,55,5,RW,7,Successful
4,RW,7,55,5,24,5,RB,2,Unsuccessful
5,RB,2,24,5,21,52,CB,5,Unsuccessful
6,RB,2,24,5,9,40,GK,1,Successful
7,GK,1,9,40,65,40,FWD,9,Unsuccessful
8,CM,6,40,28,21,52,CB,5,Successful
9,CB,5,21,52,65,40,FWD,9,Unsuccessful
10,CM,6,40,28,21,52,CB,5,Successful
11,RB,2,24,5,21,52,CB,5,Successful
12,CB,5,21,52,9,40,GK,1,Successful
13,GK,1,9,40,65,40,FWD,9,Successful
14,CB,4,21,28,24,75,LB,3,Successful
15,LB,3,24,75,21,28,CB,4,Successful
16,CB,4,21,28,55,40,CB,10,Successful
17,CAM,10,55,40,24,5,RB,2,Successful
18,RB,2,24,5,55,40,CAM,10,Successful
19,CAM,10,55,40,55,75,LW,11,Successful
20,GK,1,9,40,65,40,FWD,9,Successful
21,RW,7,55,5,40,28,CM,6,Unsuccessful
22,RW,7,55,5,21,52,CB,5,Unsuccessful
23,CM,8,40,52,24,75,LB,3,Successful
24,LB,3,24,75,55,75,LW,11,Unsuccessful
25,GK,1,9,40,65,40,FWD,9,Unsuccessful
26,CB,5,21,52,24,5,RB,2,Successful
27,RB,2,24,5,65,40,FWD,9,Unsuccessful
28,CAM,10,55,40,24,75,LB,3,Unsuccessful
29,GK,1,9,40,21,28,CB,4,Successful
30,CB,4,21,28,55,40,CAM,10,Successful
31,CAM,10,55,40,55,75,LW,11,Successful
32,LW,11,55,75,24,75,LB,3,Successful
33,LB,3,24,75,40,52,CM,8,Successful
34,CM,8,40,52,40,28,CM,6,Unsuccessful
35,RW,7,55,5,24,5,RB,2,Unsuccessful
36,CB,5,21,52,21,28,CB,4,Successful
37,CB,4,21,28,24,75,RB,3,Successful
38,RB,3,24,75,55,40,CAM,10,Successful
39,CAM,10,55,40,55,75,LW,11,Unsuccessful
40,FWD,9,65,40,40,28,CM,6,Successful
41,CM,6,40,28,24,5,RB,2,Successful
42,RB,2,24,5,55,5,RW,7,Successful
43,RW,7,55,5,21,28,CB,4,Successful
44,CB,4,21,28,55,40,CAM,10,Successful
45,CAM,10,55,40,55,75,LW,11,Successful
46,LW,11,55,75,65,40,FWD,9,Unsuccessful
47,CB,4,21,28,24,75,LB,3,Successful
48,LB,3,24,75,65,40,FWD,9,Successful
49,FWD,9,65,40,55,5,RW,7,Unsuccessful
50,RW,7,55,5,65,40,FWD,9,Successful
51,LW,11,55,75,40,28,CM,6,Successful
52,CM,6,40,28,24,5,RB,2,Successful
53,RB,2,24,5,40,28,CM,6,Successful
54,RW,7,55,5,24,5,RB,2,Successful
55,GK,1,9,40,24,75,LB,3,Successful
56,LB,3,24,75,55,75,LW,11,Successful
57,CM,6,40,28,55,40,CAM,10,Successful
58,RW,7,55,5,55,40,CAM,10,Successful
59,CAM,10,55,40,55,75,LW,11,Successful
60,CAM,10,55,40,24,5,RB,2,Unsuccessful
61,RB,2,24,5,55,40,CAM,10,Unsuccessful
62,CAM,10,55,40,55,5,RW,7,Unsuccessful
63,CB,4,21,28,24,75,LB,3,Successful
64,GK,1,9,40,55,40,CAM,10,Unsuccessful
65,CM,6,40,28,21,28,CB,4,Successful
66,LB ,3,24,75,55,40,CAM,10,Successful
67,CAM,10,55,40,21,28,CB,4,Successful
68,CB,4,21,28,65,40,FWD,9,Successful
69,RB,2,24,5,55,75,LW,11,Unsuccessful
70,LB,3,24,75,55,40,CAM,10,Successful
71,CAM,10,55,40,55,75,LW,11,Successful
72,CAM,10,55,40,24,5,RB,2,Successful
73,RB,2,24,5,21,52,CB,5,Successful
74,CB,5,21,52,24,5,RB,2,Successful
75,RB,2,24,5,55,5,RW,7,Successful
76,GK,1,9,40,65,40,FWD,9,Unsuccessful
77,CAM,10,55,40,65,40,FWD,9,Unsuccessful
78,CB,5,21,52,9,40,GK,1,Successful
79,GK,1,9,40,65,40,FWD,9,Unsuccessful
80,RW,7,55,5,24,5,RB,2,Successful
81,LB,3,24,75,55,40,CAM,10,Successful
82,RB,2,24,5,55,40,CAM,10,Unsuccessful
83,CB,5,21,52,55,40,CAM,10,Successful
84,CAM,10,55,40,55,5,RW,7,Successful
85,RW,7,55,5,55,40,CAM,10,Successful
86,CAM,10,55,40,55,75,LW,11,Successful
87,GK,1,9,40,65,40,FWD,9,Unsuccessful
88,CB,5,21,52,55,75,LW,11,Successful
89,CM,8,40,52,40,28,CM,6,Successful
90,CM,6,40,28,65,40,FWD,9,Successful
91,CM,6,40,28,40,52,CM,8,Successful
92,CM,8,40,52,55,75,LW,11,Unsuccessful
93,CM,8,40,52,24,75,LB,3,Successful
94,LB,3,24,75,55,75,LW,11,Unsuccessful
95,CAM,10,55,40,21,28,CB,4,Successful
96,CB,4,21,28,40,52,CM,8,Successful
97,CM,8,40,52,21,28,CB,4,Successful
98,CB,4,21,28,55,75,LW,11,Successful
99,LW,11,55,75,24,75,LB,3,Successful
100,LB,3,24,75,40,52,CM,8,Successful
101,CM,8,40,52,24,5,RB,2,Unsuccessful
102,GK,1,9,40,24,5,RB,2,Unsuccessful
103,GK,1,9,40,65,40,FWD,9,Unsuccessful
104,CM,6,40,28,55,5,RW,7,Successful
105,LB,3,24,75,55,75,LW,11,Unsuccessful
106,RW,7,55,5,65,40,FWD,9,Unsuccessful
107,RW,7,55,5,55,40,CAM,10,Successful
108,CAM,10,55,40,21,28,CB,4,Successful
109,CB,4,21,28,24,75,LB,3,Unsuccessful
110,GK,1,9,40,65,40,FWD,9,Unsuccessful
111,LB,3,24,75,55,75,LW,11,Successful
112,LW,11,55,75,24,75,LB,3,Successful
113,LB,3,24,75,55,75,LW,11,Successful
114,LW,11,55,75,24,5,RB,2,Successful
115,RB,2,24,5,55,40,CAM,10,Unsuccessful
116,GK,1,9,40,24,75,LB,3,Successful
117,LB,3,24,75,55,75,LW,11,Successful
118,FWD,9,65,40,55,40,CAM,10,Successful
119,CAM,10,55,40,55,5,RW,7,Successful
120,CAM,10,55,40,24,75,LB,3,Successful
121,LB,3,24,75,65,40,FWD,9,Successful
122,FWD,9,65,40,21,28,CB,4,Successful
123,CB,4,21,28,40,52,CM,8,Successful
124,CM,8,40,52,21,28,CB,4,Successful
125,CB,4,21,28,55,75,LW,11,Successful
126,CAM,10,55,40,40,28,CM,6,Successful
127,CM,6,40,28,24,5,RB,2,Successful
128,RB,2,24,5,65,40,FWD,9,Successful
129,RB,2,24,5,9,40,GK,1,Successful
130,GK,1,9,40,21,28,CB,4,Successful
131,CB,4,21,28,24,75,LB,3,Successful
132,LB,3,24,75,21,28,CB,4,Successful
133,CB,4,21,28,55,5,RW,7,Successful
134,CM,6,40,28,55,5,RW,7,Successful
135,RW,7,55,5,55,75,LW,11,Successful
136,RW,7,55,5,55,40,CAM,10,Successful
137,RB,2,24,5,65,40,FWD,9,Unsuccessful
138,CB,4,21,28,9,40,GK,1,Successful
139,GK,1,9,40,40,52,CM,8,Successful
140,CM,8,40,52,24,75,LB,3,Successful
141,LB,3,24,75,55,75,LW,11,Unsuccessful
