"","ID","Team","Opponent","Half","Minute","Event_Type","X_Pos","Y_Pos","Tackle_Type","Outcome","pitch_location","success"
"1","8","Hull I's","Tynedale","First Half",00:24:07,"Tackle",22.06,28.46,"Missed","Passive","Halfway to Opposition 22","-1"
"2","10","Hull I's","Tynedale","First Half",00:24:08,"Tackle",24.16,29.25,"Successful","Neutral","Halfway to Opposition 22","1"
"3","7","Hull I's","Tynedale","First Half",00:26:49,"Tackle",42.76,50.79,"Missed","Neutral","Halfway to Opposition 22","-1"
"4","1","Hull I's","Tynedale","First Half",00:26:52,"Tackle",39.54,32.8,"Successful","Neutral","Halfway to Opposition 22","1"
"5","12","Hull I's","Tynedale","First Half",00:26:52,"Tackle",39.54,32.8,"Successful","Neutral","Halfway to Opposition 22","1"
"6","14","Hull I's","Tynedale","First Half",00:30:50,"Tackle",60.53,58.67,"Successful","Neutral","Own 22 to Halfway","1"
"7","12","Hull I's","Tynedale","First Half",00:30:50,"Tackle",60.25,58.67,"Successful","Neutral","Own 22 to Halfway","1"
"8","8","Hull I's","Tynedale","First Half",00:30:56,"Tackle",62.07,55.12,"Successful","Neutral","Own 22 to Halfway","1"
"9","7","Hull I's","Tynedale","First Half",00:30:56,"Tackle",62.21,54.73,"Successful","Neutral","Own 22 to Halfway","1"
"10","4","Hull I's","Tynedale","First Half",00:31:03,"Tackle",62.77,45.41,"Successful","Neutral","Own 22 to Halfway","1"
"11","7","Hull I's","Tynedale","First Half",00:31:09,"Tackle",64.86,52.76,"Successful","Neutral","Own 22 to Halfway","1"
"12","3","Hull I's","Tynedale","First Half",00:31:09,"Tackle",64.45,53.81,"Successful","Neutral","Own 22 to Halfway","1"
"13","4","Hull I's","Tynedale","First Half",00:31:15,"Tackle",65.84,47.24,"Missed","Neutral","Own 22 to Halfway","-1"
"14","5","Hull I's","Tynedale","First Half",00:31:15,"Tackle",65.14,47.38,"Successful","Neutral","Own 22 to Halfway","1"
"15","10","Hull I's","Tynedale","First Half",00:31:23,"Tackle",70.32,27.68,"Missed","Passive","Own 22 to Halfway","-1"
"16","13","Hull I's","Tynedale","First Half",00:31:25,"Tackle",75.22,24.39,"Missed","Neutral","Own 22 to Halfway","-1"
"17","11","Hull I's","Tynedale","First Half",00:31:29,"Tackle",93.4,5.74,"Successful","Neutral","Own 22","1"
"18","5","Hull I's","Tynedale","First Half",00:33:23,"Tackle",22.48,54.73,"Missed","Passive","Halfway to Opposition 22","-1"
"19","1","Hull I's","Tynedale","First Half",00:33:24,"Tackle",24.85,54.07,"Successful","Neutral","Halfway to Opposition 22","1"
"20","3","Hull I's","Tynedale","First Half",00:33:24,"Tackle",24.16,53.81,"Successful","Neutral","Halfway to Opposition 22","1"
"21","12","Hull I's","Tynedale","First Half",00:33:31,"Tackle",23.88,32.8,"Successful","Passive","Halfway to Opposition 22","1"
"22","7","Hull I's","Tynedale","First Half",00:33:31,"Tackle",23.88,31.48,"Successful","Neutral","Halfway to Opposition 22","1"
"23","3","Hull I's","Tynedale","First Half",00:35:43,"Tackle",50.04,54.6,"Successful","Neutral","Own 22 to Halfway","1"
"24","6","Hull I's","Tynedale","First Half",00:35:48,"Tackle",54.65,56.31,"Successful","Dominant","Own 22 to Halfway","1"
"25","1","Hull I's","Tynedale","First Half",00:35:48,"Tackle",53.95,56.31,"Successful","Dominant","Own 22 to Halfway","1"
"26","15","Hull I's","Tynedale","First Half",00:35:55,"Tackle",53.25,57.36,"Successful","Neutral","Own 22 to Halfway","1"
